2016-10-10,155
2016-10-11,6454
2016-10-12,6913
2016-10-13,5728
2016-10-14,9635
2016-10-15,8897
2016-10-16,8662
2016-10-17,212
2016-10-18,7430
2016-10-19,7163
2016-10-20,9577
2016-10-21,9532
2016-10-22,13712
2016-10-23,10253
2016-10-24,0
2016-10-25,6370
2016-10-26,7800
2016-10-27,8612
2016-10-28,7738
2016-10-29,10704
2016-10-30,8230
2016-10-31,289
2016-11-01,4258
2016-11-02,4813
2016-11-03,4575
2016-11-04,8646
2016-11-05,9118
2016-11-06,8581
2016-11-07,1470
2016-11-08,8367
2016-11-09,7501
2016-11-10,7719
2016-11-11,8054
2016-11-12,10005
2016-11-13,9653
2016-11-14,3081
2016-11-15,11508
2016-11-16,7459
2016-11-17,11126
2016-11-18,14652
2016-11-19,15272
2016-11-20,13354
2016-11-21,
2016-11-22,6558
2016-11-23,5943
2016-11-24,4450
2016-11-25,6704
2016-11-26,10005
2016-11-27,10629
2016-11-28,50
2016-11-29,4191
2016-11-30,5163
2016-12-01,3417
2016-12-02,4025
2016-12-03,10625
2016-12-04,10424
2016-12-05,
2016-12-06,4292
2016-12-07,4191
2016-12-08,3091
2016-12-09,3572
2016-12-10,10228
2016-12-11,8867
2016-12-12,54
2016-12-13,3462
2016-12-14,2551
2016-12-15,3961
2016-12-16,4526
2016-12-17,9070
2016-12-18,9437
2016-12-19,
2016-12-20,5326
2016-12-21,4308
2016-12-22,3871
2016-12-23,3192
2016-12-24,8705
2016-12-25,10235
2016-12-26,176
2016-12-27,4556
2016-12-28,4096
2016-12-29,4467
2016-12-30,5957
2016-12-31,
