2016-01-01,clear,partly cloudy,12,7,3
2016-01-02,partly cloudy,light rain,15,9,3
2016-01-03,cloudy,cloudy,15,10,3
2016-01-04,light rain,rain,14,8,4
2016-01-05,light rain,light rain,10,7,4
2016-01-06,light rain,cloudy,9,5,3
2016-01-07,cloudy,light rain,9,4,3
2016-01-08,partly cloudy,partly cloudy,8,3,3
2016-01-09,partly cloudy,cloudy,9,6,3
2016-01-10,light rain,rain,10,6,3
2016-01-11,light rain,light rain,8,3,4
2016-01-12,cloudy,partly cloudy,6,1,3
2016-01-13,partly cloudy,partly cloudy,6,1,3
2016-01-14,partly cloudy,partly cloudy,7,3,3
2016-01-15,clear,clear,10,3,3
2016-01-16,partly cloudy,light rain,10,5,3
2016-01-17,light rain,partly cloudy,9,1,4
2016-01-18,partly cloudy,clear,5,-1,4
2016-01-19,clear,partly cloudy,4,0,3
2016-01-20,cloudy,sleet,5,2,3
2016-01-21,sleet,light rain,4,2,3
2016-01-22,sleet,sleet,5,-3,5
2016-01-23,partly cloudy,clear,0,-7,5
2016-01-24,clear,clear,-4,-6,5
2016-01-25,clear,clear,2,-3,4
2016-01-26,clear,cloudy,7,2,3
2016-01-27,light rain,rain,7,5,3
2016-01-28,light rain,light rain,9,5,3
2016-01-29,light rain,light rain,7,4,4
2016-01-30,light rain,partly cloudy,7,3,3
2016-01-31,sleet,sleet,5,1,3
2016-02-01,cloudy,cloudy,4,-1,3
2016-02-02,clear,partly cloudy,4,0,3
2016-02-03,clear,partly cloudy,7,2,3
2016-02-04,light rain,cloudy,7,3,3
2016-02-05,clear,partly cloudy,8,1,3
2016-02-06,partly cloudy,clear,6,-1,3
2016-02-07,partly cloudy,partly cloudy,8,3,3
2016-02-08,clear,clear,13,6,3
2016-02-09,clear,clear,17,9,3
2016-02-10,partly cloudy,cloudy,18,13,4
2016-02-11,shower,cloudy,18,14,4
2016-02-12,partly cloudy,light rain,22,11,3
2016-02-13,shower,cloudy,18,3,5
2016-02-14,cloudy,partly cloudy,6,-1,4
2016-02-15,clear,clear,6,0,3
2016-02-16,clear,partly cloudy,10,2,3
2016-02-17,clear,partly cloudy,12,6,3
2016-02-18,clear,partly cloudy,15,6,3
2016-02-19,light rain,partly cloudy,12,5,4
2016-02-20,clear,clear,11,3,4
2016-02-21,partly cloudy,light rain,10,5,3
2016-02-22,rain,light rain,8,5,3
2016-02-23,cloudy,cloudy,10,4,4
2016-02-24,clear,clear,9,2,3
2016-02-25,clear,partly cloudy,11,5,3
2016-02-26,partly cloudy,clear,15,8,3
2016-02-27,clear,clear,18,10,3
2016-02-28,partly cloudy,cloudy,21,4,4
2016-02-29,clear,clear,10,2,3
2016-03-01,clear,partly cloudy,12,6,3
2016-03-02,partly cloudy,partly cloudy,16,10,3
2016-03-03,partly cloudy,partly cloudy,21,13,3
2016-03-04,light rain,partly cloudy,21,15,3
2016-03-05,shower,light rain,23,10,3
2016-03-06,partly cloudy,partly cloudy,16,10,3
2016-03-07,partly cloudy,light rain,21,7,3
2016-03-08,rain,rain,11,5,5
2016-03-09,light rain,light rain,8,4,5
2016-03-10,light rain,partly cloudy,8,1,4
2016-03-11,clear,clear,9,4,3
