2014-01-01,clear,clear,14,5,4
2014-01-02,clear,partly cloudy,16,8,4
2014-01-03,partly cloudy,partly cloudy,14,6,4
2014-01-04,partly cloudy,clear,10,3,4
2014-01-05,clear,partly cloudy,10,5,4
2014-01-06,partly cloudy,partly cloudy,11,8,5
2014-01-07,light rain,rain,12,6,4
2014-01-08,light rain,light rain,8,2,5
2014-01-09,partly cloudy,partly cloudy,5,0,5
2014-01-10,clear,cloudy,8,4,4
2014-01-11,light rain,light rain,8,4,4
2014-01-12,light rain,cloudy,7,3,5
2014-01-13,partly cloudy,partly cloudy,7,2,4
2014-01-14,partly cloudy,clear,8,2,4
2014-01-15,clear,clear,8,3,4
2014-01-16,partly cloudy,partly cloudy,10,3,4
2014-01-17,clear,clear,11,3,3
2014-01-18,clear,clear,9,2,4
2014-01-19,clear,clear,10,3,4
2014-01-20,clear,clear,10,1,5
2014-01-21,clear,clear,6,0,5
2014-01-22,clear,clear,6,1,4
2014-01-23,clear,clear,11,6,4
2014-01-24,clear,partly cloudy,16,8,5
2014-01-25,partly cloudy,partly cloudy,17,6,5
2014-01-26,partly cloudy,partly cloudy,10,4,5
2014-01-27,clear,clear,13,6,4
2014-01-28,partly cloudy,cloudy,14,7,4
2014-01-29,light rain,cloudy,14,8,4
2014-01-30,partly cloudy,clear,16,10,4
2014-01-31,clear,clear,19,12,5
2014-02-01,clear,partly cloudy,23,12,3
2014-02-02,partly cloudy,light rain,19,5,4
2014-02-03,light rain,cloudy,10,3,5
2014-02-04,partly cloudy,light rain,6,3,5
2014-02-05,light rain,rain,8,6,5
2014-02-06,rain,rain,10,5,5
2014-02-07,light rain,light rain,7,3,5
2014-02-08,partly cloudy,cloudy,6,2,5
2014-02-09,sleet,cloudy,4,0,5
2014-02-10,light snow,cloudy,2,-1,5
2014-02-11,partly cloudy,light rain,4,2,5
2014-02-12,sleet,sleet,5,3,5
2014-02-13,light rain,cloudy,7,4,5
2014-02-14,partly cloudy,clear,8,2,5
2014-02-15,partly cloudy,cloudy,9,5,4
2014-02-16,rain,rain,9,7,4
2014-02-17,light rain,light rain,9,5,5
2014-02-18,rain,sleet,6,3,5
2014-02-19,light rain,partly cloudy,5,1,5
2014-02-20,clear,clear,9,2,4
2014-02-21,clear,partly cloudy,10,3,4
2014-02-22,partly cloudy,partly cloudy,11,5,4
2014-02-23,partly cloudy,partly cloudy,12,6,4
2014-02-24,light rain,rain,12,8,4
2014-02-25,rain,light rain,12,9,5
2014-02-26,light rain,cloudy,11,7,5
2014-02-27,partly cloudy,light rain,14,8,3
2014-02-28,light rain,rain,10,6,4
2014-03-01,light rain,light rain,9,4,5
2014-03-02,cloudy,cloudy,11,7,5
2014-03-03,partly cloudy,light rain,13,9,5
2014-03-04,light rain,partly cloudy,11,6,5
2014-03-05,partly cloudy,cloudy,10,5,4
2014-03-06,light rain,partly cloudy,8,4,4
2014-03-07,clear,light rain,11,6,4
2014-03-08,cloudy,partly cloudy,8,3,4
2014-03-09,clear,clear,13,4,4
2014-03-10,clear,clear,14,6,4
2014-03-11,clear,light rain,15,10,5
2014-03-12,light rain,light rain,16,6,5
2014-03-13,partly cloudy,clear,11,4,5
2014-03-14,clear,clear,15,8,4
2014-03-15,clear,clear,19,10,4
2014-03-16,clear,shower,21,13,4
2014-03-17,partly cloudy,clear,23,13,4
2014-03-18,clear,light rain,25,10,3
2014-03-19,light rain,light rain,14,8,5
2014-03-20,partly cloudy,partly cloudy,13,5,5
2014-03-21,clear,clear,14,5,4
2014-03-22,clear,clear,17,8,4
2014-03-23,clear,partly cloudy,17,11,5
2014-03-24,partly cloudy,light rain,20,14,4
2014-03-25,rain,light rain,18,15,4
2014-03-26,partly cloudy,partly cloudy,21,13,4
2014-03-27,clear,cloudy,20,13,5
2014-03-28,light rain,rain,18,14,5
2014-03-29,rain,cloudy,20,12,5
2014-03-30,partly cloudy,partly cloudy,19,11,4
2014-03-31,cloudy,cloudy,17,12,4
2014-04-01,partly cloudy,partly cloudy,19,12,4
2014-04-02,light rain,light rain,18,13,4
2014-04-03,light rain,partly cloudy,19,9,5
2014-04-04,clear,clear,18,10,4
2014-04-05,clear,clear,21,8,5
2014-04-06,partly cloudy,light rain,17,12,4
2014-04-07,cloudy,cloudy,18,12,4
